01,9199,436.75,Alessandra Negrini
02,8444,192.51,Ronaldo Fenomeno
03,7548,960.38,Larissa Riquelme
04,2031,528.52,Joao Miguel
05,9653,349.34,Bruna Lombardi
06,4687,543.53,Carlos Eduardo
07,3273,590.58,Danilo Gentili
08,1859,637.63,Estefany Britto
09,4450,685.67,Fabio
10,5378,907.32,Gustavo
11,8897,826.24,Hilda
12,3931,118.11,Juvenal
13,2517,907.89,Kelly
14,1103,503.49,Lorenzo
15,6036,118.11,Manuela
16,4622,886.30,Nair
17,9210,676.67,Otavio
18,1967,898.89,Paulo
19,1384,770.19,Quevin
20,1750,964.95,Rafael
21,5175,688.11,Silvio
22,1873,510.50,Tales
23,2909,382.69,Ursula
24,9440,927.91,Valquiria
25,9422,720.71,Xuxa
26,4463,541.39,Zulmira
27,4118,313.63,Amilton
28,8188,153.47,Bartho
29,7390,971.39,Clecio
30,9224,313.16,Denis
31,6191,758.75,Elton
32,4777,100.10,Fatima
33,6914,692.68,Guiherme
34,5813,436.43,Hilo
35,9020,160.16,Ilton
36,5986,852.84,Ilario
37,8124,752.17,Jonas
38,5090,818.81,Karlos
39,5608,464.46,Luiz
40,6126,189.18,Mario
41,4712,655.65,Nicolas
42,3298,398.39,Oscar
43,1884,571.88,Pamela
44,4022,618.93,Quelly
45,7335,988.97,Rafany
46,5921,505.50,Saulo
47,6127,696.12,Tamires
48,9440,214.21,Uilson
49,9646,982.97,Vademir
50,6612,997.41,Zulu
